cloud,attempt,accepted,reason,iterations,predictor_residual,final_residual,predictor_distance,corrector_distance
rank4_best,4,1,converged,4,0.0004898418876363369,1.3242348608752074e-08,0.011662356378158427,0.00033264460137924794
rank4_best,5,1,converged,3,0.00016238336629729604,1.5881961410160915e-08,0.007474170699771296,0.00010931403140064976
rank4_best,6,1,converged,2,6.563555155749932e-05,4.06129432279818e-09,0.007486153474997615,5.138578860793226e-05
rank4_best,7,1,converged,2,3.5282233463077746e-05,6.302212709147935e-10,0.006441353243545072,2.738700443100331e-05
rank4_best,8,1,converged,2,9.240515704957942e-05,6.951944782701559e-09,0.007873043852143725,6.414822667109309e-05
rank4_best,9,1,converged,2,5.8286318372623956e-05,4.976394550511844e-09,0.009824721304306073,3.696752584974644e-05
rank4_best,10,1,converged,3,0.00013465509676723197,1.3218419506910135e-09,0.011684933571147242,9.399126798446595e-05
rank4_best,11,1,converged,2,0.00016537730684188095,1.71633076937517e-08,0.011452940170210545,8.381469029432373e-05
rank4_best,12,1,converged,2,0.00016422737481125178,9.772827565569167e-09,0.011953945705637415,0.0001179586876609347
rank4_best,13,1,converged,2,9.281808163570472e-05,9.957477903608616e-09,0.010434255404610087,8.672700757913004e-05
rank4_best,14,1,converged,2,7.516491201827947e-05,3.810848967921241e-09,0.007821556725413577,4.2577247988788856e-05
rank4_best,15,1,converged,2,0.00010689181347933855,1.5166235582063975e-08,0.010432987937624464,5.684896457232162e-05
rank4_best,16,0,iteration_or_line_search_limit,5,0.0018375095791941093,4.4216143185857286e-08,0.011737067896436661,0.0011939187060645878
rank4_best,17,1,converged,2,8.097261896634574e-05,5.541624923135496e-09,0.011365160627193168,6.377049088313195e-05
rank4_best,18,1,converged,2,8.572526665539209e-05,1.92198685955821e-08,0.011318148317321745,8.011186540724996e-05
rank4_best,19,1,converged,2,0.00010118033560357572,7.383444910212967e-09,0.008450453996665596,6.861508169382038e-05
rank4_best,20,1,converged,2,4.2846132435167965e-05,8.025200415171333e-10,0.007475865127396287,2.6043748144081633e-05
rank4_best,21,1,converged,2,7.776450781528259e-05,1.2881951003042099e-08,0.010111276578331115,5.09661163525981e-05
rank4_best,22,1,converged,2,1.6432401118314295e-05,3.6127882737657004e-10,0.004187587049415245,8.976381739418491e-06
rank4_best,23,1,converged,2,4.5385609321500956e-05,1.7401958156598485e-09,0.0070252459952751655,2.7716083854137084e-05
rank4_best,24,1,converged,2,9.121045389428449e-05,8.691564831625318e-09,0.007315122172686033,7.07919567415672e-05
rank4_best,25,1,converged,2,5.094693579496938e-05,4.278763228852849e-09,0.011880685560222816,3.454448168666234e-05
